,brand,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,pixel,Loudspeaker,3.5mm jack,Chipset,RAM,Storage,Micro-SIM,Mini-SIM,Nano-SIM,eSIM,ratio_1,ratio_2
533,5,True,True,False,2024,207.0,168.3,77.7,8.9,7,6.75,260.0,84.1,1,6000.0,240.0,8.0,1152000.0,True,False,3,8.0,128.0,False,False,True,False,20.0,9.0
2029,10,True,True,True,2020,222.0,166.9,76.0,8.8,0,6.9,511.0,89.9,0,5000.0,394.0,8.0,4608000.0,False,False,6,12.0,128.0,False,False,False,True,20.0,9.0
603,5,True,True,False,2019,206.0,163.1,77.2,8.8,1,6.59,391.0,84.7,0,4000.0,220.0,8.0,2527200.0,True,True,3,6.0,128.0,False,False,True,False,5.0,9.0
1619,13,True,True,False,2012,151.0,130.9,65.0,11.2,1,4.3,256.0,59.9,0,1900.0,340.0,2.0,518400.0,True,True,6,1.0,4.0,False,True,False,False,16.0,9.0
1426,11,True,True,False,2012,127.0,131.0,69.0,8.6,2,4.6,319.0,64.5,0,1700.0,290.0,2.0,921600.0,True,True,6,1.0,16.0,True,False,False,False,16.0,9.0
1074,8,True,True,False,2016,128.0,145.0,71.6,8.9,1,5.0,196.0,66.4,0,1900.0,120.0,4.0,409920.0,True,True,4,1.0,8.0,True,False,False,False,16.0,9.0
1755,12,True,True,True,2021,196.0,163.7,76.4,7.8,0,6.67,395.0,85.9,0,4520.0,170.21,8.0,2592000.0,False,False,6,6.0,128.0,False,False,True,False,20.0,9.0
60,0,True,False,False,2013,130.0,130.3,67.0,9.0,7,4.5,245.0,63.9,0,1800.0,110.0,4.0,518400.0,True,True,4,1.0,4.0,True,False,False,False,16.0,9.0
2260,10,True,True,False,2013,153.0,139.7,71.3,9.1,7,5.0,441.0,69.2,0,2600.0,310.0,4.0,2073600.0,True,True,6,2.0,16.0,True,False,False,False,16.0,9.0
92,1,True,True,True,2022,172.0,146.7,71.5,7.8,5,6.1,460.0,86.0,2,3279.0,619.22,6.0,2962440.0,False,False,0,6.0,128.0,False,False,False,True,5.0,9.0
666,5,True,True,False,2017,143.0,150.1,72.1,7.5,1,5.65,427.0,76.1,0,3000.0,170.0,8.0,2332800.0,True,True,3,3.0,32.0,False,False,True,False,18.0,9.0
2200,10,True,True,False,2015,141.0,151.0,76.2,6.3,6,5.5,401.0,72.5,0,2600.0,300.0,8.0,2073600.0,True,True,6,2.0,16.0,False,False,True,False,16.0,9.0
2112,10,True,True,False,2017,364.0,212.1,124.1,8.9,1,8.0,189.0,70.5,0,5000.0,200.0,4.0,1024000.0,True,True,6,2.0,16.0,False,False,True,False,16.0,10.0
280,3,True,False,False,2018,155.0,156.7,75.2,8.4,1,6.0,268.0,78.8,0,2600.0,90.0,4.0,1036800.0,True,True,4,1.0,16.0,False,False,True,False,18.0,9.0
1499,13,True,True,True,2020,215.0,171.7,78.5,9.1,0,6.65,388.0,80.5,0,5100.0,600.0,8.0,2527200.0,True,False,6,8.0,256.0,False,False,True,False,5.0,9.0
359,4,True,True,False,2020,203.0,164.9,75.7,9.0,1,6.5,270.0,81.7,0,5000.0,250.0,8.0,1152000.0,True,True,6,6.0,128.0,False,False,True,False,20.0,9.0
1747,12,True,True,True,2021,317.0,173.3,133.4,7.6,0,8.01,387.0,85.9,0,5020.0,1300.0,8.0,4612800.0,False,False,6,12.0,256.0,False,False,True,False,4.0,3.0
