year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2023,MatePad 11.5,Huawei,8,Harmony,OS,"[('128', '6'), ('128', '8'), ('256', '8')]",111,['Accelerometer'],260.9 x 176.8 x 6.9,499,,11.5,84.8,1440 x 2200,229,290,7700
2023,MatePad Air,Huawei,8,HarmonyOS,3.1,"[('128', '8'), ('256', '8'), ('256', '12'), ('512', '12')]",111,"['Accelerometer', 'gyro', 'compass', 'proximity']",261.9 x 178.2 x 6.4,508,Nano-SIM,11.5,83.9,2800 x 1840,291,500,8300
2023,nova Y91,Huawei,8,EMUI,13,"[('128', '6'), ('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'gyro', 'compass']",171.6 x 79.9 x 8.9,214,Nano-SIM,6.95,85.6,1080 x 2376,376,280,7000
2023,Watch 4 Pro,Huawei,,HarmonyOS,3.0,"[('32', '2')]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2', 'thermometer']",47.6 x 47.6 x 12.9,65,,1.5,,466 x 466,310,550,
2023,Watch 4,Huawei,4,HarmonyOS,3.0,"[('32', '2')]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2', 'thermometer']",46.2 x 46.2 x 10.9,48,,1.5,,466 x 466,310,450,530
2023,nova 11i,Huawei,8,EMUI,13,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'compass']",164.6 x 75.6 x 8.6,193,Nano-SIM,6.8,90.0,1080 x 2388,385,,5000
2023,nova Y71,Huawei,8,EMUI,12,"[('128', '8')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",168.3 x 77.7 x 9,199,Nano-SIM,6.75,84.1,720 x 1600,260,190,6000
2023,Enjoy 60X,Huawei,8,HarmonyOS,3.0,"[('128', '8'), ('256', '8'), ('512', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",171.6 x 79.9 x 8.9,216,Nano-SIM,6.95,85.6,1080 x 2376,376,230,7000
2023,nova 11 Ultra,Huawei,8,HarmonyOS,3.0,"[('512',)]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass', 'color spectrum']",164.3 x 74.4 x 7.9,188,Nano-SIM,6.78,91.1,1200 x 2652,429,590,4500
2023,nova 11 Pro,Huawei,8,HarmonyOS,3.0,"[('256', '8'), ('512', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass', 'color spectrum']",164.3 x 74.4 x 7.9,188,Nano-SIM,6.78,91.1,1200 x 2652,429,,4500
