year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,size,screen_to_body_ratio,resolution,ppi_density,price,battery,sim
2021,C20,Nokia,8,Android,11,"[('16', '1'), ('16', '2'), ('32', '2')]",111,"['Accelerometer', 'proximity']",169.9 x 77.9 x 8.8,191,6.52,77.5,720 x 1600,269,80,3000,Nano-SIM
2021,1.4,Nokia,4,Android,10,"[('16', '1'), ('32', '2'), ('64', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity']",166.4 x 76.7 x 8.7,178,6.52,80.4,720 x 1600,269,90,4000,Nano-SIM
2020,5.4,Nokia,8,Android,10,"[('64', '4'), ('64', '6'), ('128', '4')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity']",161 x 76 x 8.7,181,6.39,81.9,720 x 1560,269,90,4000,Nano-SIM
2020,C1 Plus,Nokia,4,Android,10,"[('16', '1')]",111,"['Accelerometer', 'proximity']",149.1 x 71.2 x 8.8,146,5.45,72.2,720 x 1440,295,70,2500,Nano-SIM
2020,8000 4G,Nokia,4,KaiOS,2.5,"[('4', '512')]",111,[''],132.2 x 56.5 x 12.3,110.2,2.8,32.5,240 x 320,143,110,1500,Nano-SIM
2020,8 V 5G UW,Nokia,8,Android,10,"[('64', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",171.9 x 78.6 x 9,230,6.81,82.9,1080 x 2400,386,590,4500,Nano-SIM
2020,225 4G,Nokia,,,,"[('128', '64')]",111,[''],124.7 x 51 x 13.7,90.1,2.4,28.0,240 x 320,167,60,1150,Nano-SIM
2020,215 4G,Nokia,,,,"[('128', '64')]",111,[''],124.7 x 51 x 13.7,90.3,2.4,28.0,240 x 320,167,40,1150,Nano-SIM
2014,Ascend Mate7,Huawei,8,Android,4.4.2,"[('16', '2'), ('32', '3')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",157 x 81 x 7.9,185,6.0,77.6,1080 x 1920,368,340,4100,Micro-SIM
2014,Ascend G630,Huawei,4,Android,4.3,"[('4', '1')]",011,"['Accelerometer', 'proximity']",143 x 71.7 x 7.8,160,5.0,67.2,720 x 1280,294,170,2000,Micro-SIM
2011,Ascend II,Huawei,600.0,Android,2.3,"[('512', '256')]",011,"['Accelerometer', 'proximity', 'compass']",117 x 61 x 13,120,3.5,51.1,320 x 480,165,100,1400,Mini-SIM
