year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2017,Galaxy J5 (2017),Samsung,8,Android,7.0,"[('16', '2'), ('32', '2'), ('32', '3')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",146.2 x 71.3 x 8,160,Nano-SIM,5.2,71.5,720 x 1280,282,130,3000
2017,Galaxy J3 (2017),Samsung,4,Android,7.0,"[('16', '2')]",111,"['Accelerometer', 'proximity']",143.2 x 70.3 x 8.2,142,Nano-SIM,5.0,68.5,720 x 1280,294,110,2400
2017,Galaxy Folder2,Samsung,4,Android,6.0,"[('16', '2'), ('32', '2'), ('32', '3')]",111,"['Accelerometer', 'proximity']",122 x 60.2 x 16.1,165,Nano-SIM,3.8,56.0,480 x 800,246,200,1950
2017,Z4,Samsung,4,Tizen,3.0,"[('8', '1')]",111,"['Accelerometer', 'proximity']",132.9 x 69.2 x 10.3,143,Micro-SIM,4.5,62.7,480 x 800,207,80,2050
2017,Galaxy S8,Samsung,8,Android,7.0,"[('64', '4')]",111,"['Iris scanner', 'fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'heart rate', 'SpO2']",148.9 x 68.1 x 8,155,Nano-SIM,5.8,83.6,1440 x 2960,570,230,3000
2017,Galaxy S8+,Samsung,8,Android,7.0,"[('64', '4'), ('128', '6')]",111,"['Iris scanner', 'fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'heart rate', 'SpO2']",159.5 x 73.4 x 8.1,173,Nano-SIM,6.2,84.0,1440 x 2960,529,430,3500
2017,Gear S3 classic LTE,Samsung,2,Tizen,OS,"[('4', '768')]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer']",49 x 46 x 12.9,57,,1.3,,360 x 360,392,330,380
2017,Galaxy C5 Pro,Samsung,8,Android,7.0,"[('64', '4')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",145.7 x 71.4 x 7,145,Nano-SIM,5.2,71.7,1080 x 1920,424,220,2600
2017,Galaxy Xcover 4,Samsung,4,Android,7.0,"[('16', '2')]",111,"['Accelerometer', 'proximity', 'compass']",146.2 x 73.3 x 9.7,172,Micro-SIM,5.0,64.3,720 x 1280,294,240,2800
2017,Galaxy Tab S3 9.7,Samsung,4,Android,7.0,"[('32', '4'), ('128', '4')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",237.3 x 169 x 6,429,Nano-SIM,9.7,72.7,1536 x 2048,264,380,6000
2016,Galaxy J1 mini prime,Samsung,4,Android,5.1,"[('8', '1')]",111,['Accelerometer'],121.6 x 63.1 x 10.8,126,Micro-SIM,4.0,59.4,480 x 800,233,110,1500
2017,Galaxy J3 Emerge,Samsung,8,Android,6.0.1,"[('16', '1.5')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",140.9 x 70.1 x 8.7,147,Nano-SIM,5.0,69.8,720 x 1280,294,200,2600
2017,Galaxy C7 Pro,Samsung,8,Android,6.0.1,"[('64', '4')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",156.5 x 77.2 x 7,172,Nano-SIM,5.7,74.1,1080 x 1920,386,300,3300
2017,Galaxy A7 (2017),Samsung,8,Android,6.0.1,"[('32', '3')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",156.8 x 77.6 x 7.9,186,Nano-SIM,5.7,73.6,1080 x 1920,386,280,3600
