year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2015,Xperia E4 Dual,Sony,4,Android,4.4.4,"[('8', '1')]",011,"['Accelerometer', 'proximity']",137 x 74.6 x 10.5,144,Micro-SIM,5.0,67.4,540 x 960,220,120,2300
2015,Xperia E4,Sony,4,Android,4.4.4,"[('8', '1')]",011,"['Accelerometer', 'proximity']",137 x 74.6 x 10.5,144,Micro-SIM,5.0,67.4,540 x 960,220,120,2300
2014,Xperia E3 Dual,Sony,4,Android,4.4.2,"[('4', '1')]",011,"['Accelerometer', 'proximity', 'compass']",137.1 x 69.4 x 8.5,143.8,Micro-SIM,4.5,58.6,480 x 854,218,190,2330
2014,Xperia E3,Sony,4,Android,4.4.2,"[('4', '1')]",111,"['Accelerometer', 'proximity', 'compass']",137.1 x 69.4 x 8.5,143.8,Micro-SIM,4.5,58.6,480 x 854,218,170,2330
2014,Xperia Z3 Tablet Compact,Sony,4,Android,4.4.2,"[('16', '3')]",111,"['Accelerometer', 'gyro', 'compass', 'barometer']",213.4 x 123.6 x 6.4,270,Nano-SIM,8.0,70.4,1200 x 1920,283,380,4500
2014,Xperia Z3 Dual,Sony,4,Android,4.4.4,"[('16', '3'), ('32', '3')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",146 x 72 x 7.3,152,Nano-SIM,5.2,70.9,1080 x 1920,424,400,3100
2014,Xperia Z3v,Sony,4,Android,4.4.4,"[('32', '3')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",148.5 x 73.4 x 8.9,170.6,Nano-SIM,5.2,68.4,1080 x 1920,424,370,3200
2014,Xperia Z3,Sony,4,Android,4.4.4,"[('16', '3'), ('32', '3')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",146 x 72 x 7.3,152,Nano-SIM,5.2,70.9,1080 x 1920,424,180,3100
2014,Xperia M2 Aqua,Sony,4,Android,4.4.2,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",140 x 72 x 8.6,149,Micro-SIM,4.8,63.0,540 x 960,229,200,2300
2014,Xperia Z3 Compact,Sony,4,Android,4.4.4,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",127.3 x 64.9 x 8.6,129,Nano-SIM,4.6,70.6,720 x 1280,319,300,2600
2014,Xperia C3 Dual,Sony,4,Android,4.4.2,"[('8', '1')]",011,"['Accelerometer', 'proximity', 'compass']",156.2 x 78.7 x 7.6,149.7,Micro-SIM,5.5,67.8,720 x 1280,267,250,2500
2014,Xperia C3,Sony,4,Android,4.4.2,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",156.2 x 78.7 x 7.6,149.7,Micro-SIM,5.5,67.8,720 x 1280,267,190,2500
2014,Xperia Z2a,Sony,4,Android,4.4.2,"[('16', '3')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",137 x 72 x 11,163,Micro-SIM,5.0,69.9,1080 x 1920,441,250,3000
2014,Xperia T3,Sony,4,Android,4.4.2,"[('8', '1')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",150.7 x 77 x 7,148,Micro-SIM,5.3,66.7,720 x 1280,277,200,2500
